"ï..LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag.Codes"
"AUS","EDUTRY","25_34","PC_AGE","A",1989,34.140335,NA
"AUS","EDUTRY","25_34","PC_AGE","A",1991,35.707539,NA
"AUS","EDUTRY","25_34","PC_AGE","A",1993,22.836517,NA
"AUS","EDUTRY","25_34","PC_AGE","A",1994,23.624947,NA
"AUS","EDUTRY","25_34","PC_AGE","A",1995,24.697142,NA
"AUS","EDUTRY","25_34","PC_AGE","A",1997,25.702168,NA
